text,sentiment,positive_score,negative_score,positive_fuzzy_Low,positive_fuzzy_Medium,positive_fuzzy_High,negative_fuzzy_Low,negative_fuzzy_Medium,negative_fuzzy_High,fuzzy_output,defuzzified_value,final_sentiment
i love my kindle not that the dx is cool but the is fantastic in it is own right,1,0.446,0.0,0.0,0.5768945211191685,0.4231054788808316,0.0,0.0,0.0,0.0,5.836671673676079,Neutral
reading my kindle love it lee childs is good read,1,0.47,0.0,0.0,0.5418427021144595,0.45815729788554055,0.0,0.0,0.0,0.0,5.836671673676078,Neutral
ok first assesment of the kindle it fucking rocks,1,0.216,0.0,0.0,0.9128077865809628,0.08719221341903727,0.0,0.0,0.0,0.0,5.836671673676072,Neutral
you ll love your kindle i ve had mine for a few months and never looked back the new big one is huge no need for remorse,1,0.204,0.135,0.0,0.9303336960833174,0.06966630391668277,0.13627331295723683,0.8637266870427631,0.0,0.44146030671074543,5.076834093950523,Neutral
fair enough but i have the kindle and i think it s perfect,1,0.456,0.0,0.0,0.562289596533873,0.43771040346612705,0.0,0.0,0.0,0.0,5.83667167367608,Neutral
no it is too big i m quite happy with the kindle,1,0.281,0.155,0.0,0.8178757767765427,0.18212422322345745,0.008313803765716431,0.9916861962342836,0.0,0.8061449079065791,4.807198238898581,Neutral
fuck this economy i hate aig and their non loan given asses,0,0.0,0.444,0.0,0.0,0.0,0.0,0.5798155060362276,0.42018449396377255,0.0,1.6700066800267184,Negativo
jquery is my new best friend,1,0.649,0.0,0.0,0.28041455203767174,0.7195854479623284,0.0,0.0,0.0,0.0,6.828782480557002,Positivo
loves twitter,1,0.787,0.0,0.0,0.0788665927605951,0.9211334072394051,0.0,0.0,0.0,0.0,7.925453150393893,Positivo
how can you not love obama he makes jokes about himself,1,0.139,0.234,0.11068141111893272,0.8893185888810673,0.0,0.0,0.8865189223274311,0.11348107767256903,0.0,5.0097298148079865,Neutral
i firmly believe that obama pelosi have zero desire to be civil it s a charade and a slogan but they want to destroy conservatism,0,0.127,0.182,0.18745711663384507,0.812542883366155,0.0,0.0,0.9624645301709672,0.03753546982903289,0.0,4.832665162736985,Neutral
house correspondents dinner was last night whoopi barbara amp sherri went obama got a standing ovation,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Neutral
watchin espn jus seen this new nike commerical with a puppet lebron sh t was hilarious lmao,1,0.337,0.0,0.0,0.7360881990988885,0.2639118009011117,0.0,0.0,0.0,0.0,5.83667167367608,Neutral
dear nike stop with the flywire that shit is a waste of science and ugly love,0,0.245,0.43,0.0,0.8704535052836061,0.12954649471639396,0.0,0.6002624004556412,0.39973759954435895,0.0,5.3179043894835925,Neutral
lebron best athlete of our generation if not all time basketball related i don t want to get into inter sport debates about,1,0.224,0.0,0.0,0.9011238469127265,0.09887615308727361,0.0,0.0,0.0,0.0,5.83667167367607,Neutral
i was talking to this guy last night and he was telling me that he is a die hard spurs fan he also told me that he hates lebron james,0,0.067,0.238,0.5713356442084064,0.42866435579159357,0.0,0.0,0.8806769524933129,0.11932304750668715,0.0,4.163271681961443,Neutral
i love lebron,1,0.808,0.0,0.0,0.04819625113147472,0.9518037488685253,0.0,0.0,0.0,0.0,8.08900855960862,Positivo
lebron is a beast but i m still cheering the a til the end,0,0.331,0.0,0.0,0.7448511538500657,0.25514884614993444,0.0,0.0,0.0,0.0,5.836671673676078,Neutral
lebron is the boss,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Neutral
lebron is a hometown hero to me lol i love the lakers but let s go cavs lol,1,0.488,0.0,0.0,0.5155538378609278,0.48444616213907227,0.0,0.0,0.0,0.0,5.836671673676082,Neutral
lebron and zydrunas are such an awesome duo,1,0.369,0.0,0.0,0.6893524404259431,0.310647559574057,0.0,0.0,0.0,0.0,5.83667167367608,Neutral
lebron is a beast nobody in the nba comes even close,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Neutral
downloading apps for my iphone so much fun there literally is an app for just about anything,1,0.183,0.0,0.0,0.9610040377124376,0.038995962287562434,0.0,0.0,0.0,0.0,5.836671673676081,Neutral
good news just had a call from the visa office saying everything is fine what a relief i am sick of scams out there stealing,1,0.225,0.312,0.0,0.899663354454197,0.10033664554580315,0.0,0.7726005105621269,0.22739948943787316,0.0,5.146239674235231,Neutral
awesome come back from via,1,0.506,0.0,0.0,0.489264973607396,0.510735026392604,0.0,0.0,0.0,0.0,5.876591456160488,Neutral
in montreal for a long weekend of r amp r much needed,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Neutral
booz allen hamilton has a bad ass homegrown social collaboration platform way cool ttiv,1,0.422,0.0,0.0,0.6119463401238775,0.3880536598761226,0.0,0.0,0.0,0.0,5.836671673676074,Neutral
mluc customer innovation award winner booz allen hamilton,1,0.664,0.0,0.0,0.2585071651597286,0.7414928348402716,0.0,0.0,0.0,0.0,6.94420723057978,Positivo
i current use the nikon d and love it but not as much as the canon d d i chose the d for the video feature my mistake,1,0.101,0.121,0.3538044785828216,0.6461955214171784,0.0,0.22584496939130122,0.7741550306086987,0.0,0.0,4.820346540336466,Neutral
google is always a good place to look should ve mentioned i worked on the mustang w my dad,1,0.162,0.0,0.0,0.991674379341558,0.008325620658442093,0.0,0.0,0.0,0.0,5.836671673676072,Neutral
played with an android google phone the slide out screen scares me i would break that fucker so fast still prefer my iphone,0,0.085,0.238,0.456172085936038,0.543827914063962,0.0,0.0,0.8806769524933129,0.11932304750668715,0.0,4.467216705421862,Neutral
us planning to resume the military tribunals at guantanamo bay only this time those on trial will be aig execs and chrysler debt holders,0,0.0,0.098,0.0,0.0,0.0,0.37299840496154973,0.6270015950384503,0.0,0.0,1.670006680026722,Negativo
